STATION_NUMBER,YEAR,MONTH,MIN,MAX,Day,FlowValue,Symbol,DateKey
01AD001,1928,10,15.30000,29.70000,1,16.60000,E,19281001
01AD001,1928,11,29.20000,34.00000,1,29.70000,E,19281101
01AD001,1928,12,17.60000,29.20000,1,29.20000,,19281201
01AD001,1929,1,16.10000,17.40000,1,16.10000,B,19290101
01AD001,1929,2,13.50000,16.30000,1,16.30000,B,19290201
01AD001,1929,3,11.90000,12.70000,1,12.70000,B,19290301
01AD001,1929,4,12.10000,87.80000,1,12.10000,B,19290401
01AD001,1929,5,99.10000,309.00000,1,99.10000,,19290501
01AD001,1929,6,60.90000,167.00000,1,167.00000,,19290601
01AD001,1929,7,39.40000,69.10000,1,60.60000,,19290701
01AD001,1929,8,20.20000,29.40000,1,29.40000,E,19290801
01AD001,1929,9,14.40000,19.50000,1,19.50000,E,19290901
01AD001,1929,10,14.90000,23.70000,1,14.90000,E,19291001
01AD001,1929,11,25.50000,34.30000,1,25.50000,,19291101
01AA002,1967,8,,,1,,,19670801
01AA002,1967,9,,,1,,,19670901
01AA002,1967,10,,,1,,,19671001
01AA002,1967,12,,,1,,,19671201
01AA002,1968,1,1.76000,3.96000,1,3.96000,B,19680101
01AA002,1968,2,0.71000,15.90000,1,1.95000,B,19680201
01AA002,1968,3,0.67000,85.00000,1,0.88000,B,19680301
01AA002,1968,4,22.50000,123.00000,1,99.10000,B,19680401
01AA002,1968,5,,,1,18.60000,,19680501
01AA002,1968,7,,,1,,,19680701
01AA002,1968,8,0.63000,14.40000,1,1.52000,,19680801
01AA002,1968,9,1.51000,37.40000,1,3.23000,,19680901
01AA002,1968,10,1.62000,23.30000,1,2.42000,,19681001
01AA002,1968,11,2.36000,10.50000,1,6.00000,,19681101
01AA002,1968,12,3.57000,8.92000,1,5.24000,B,19681201
01AA002,1969,1,3.48000,5.04000,1,4.53000,B,19690101
01AA002,1969,2,2.33000,3.96000,1,3.96000,B,19690201
01AA002,1969,3,1.98000,2.31000,1,2.24000,B,19690301
01AA002,1969,4,2.07000,161.00000,1,2.15000,B,19690401
01AA002,1969,5,10.40000,158.00000,1,93.70000,,19690501
01AA002,1969,6,6.60000,29.20000,1,9.71000,,19690601
01AA002,1969,7,5.21000,63.40000,1,21.90000,,19690701
01AA002,1969,8,5.80000,19.30000,1,7.93000,,19690801
01AA002,1969,9,4.98000,59.70000,1,5.55000,,19690901
01AA002,1969,10,6.26000,26.40000,1,8.78000,,19691001
01AA002,1969,11,7.79000,68.50000,1,7.96000,,19691101
01AA002,1969,12,4.53000,40.50000,1,8.61000,,19691201
01AA002,1970,1,3.60000,5.86000,1,5.86000,B,19700101
01AA002,1970,2,2.61000,8.92000,1,4.33000,B,19700201
01AA002,1970,3,2.19000,4.39000,1,2.49000,B,19700301
01AA002,1970,4,4.11000,280.00000,1,4.19000,B,19700401
01AA002,1970,5,5.07000,173.00000,1,130.00000,,19700501
01AA002,1970,6,2.08000,49.80000,1,7.48000,,19700601
01AA002,1970,7,1.26000,70.20000,1,6.99000,,19700701
01AA002,1970,8,0.67000,6.51000,1,1.14000,,19700801
01AA002,1970,9,2.46000,64.60000,1,3.94000,,19700901
01AA002,1970,10,4.39000,92.60000,1,9.83000,,19701001
01AA002,1970,11,4.56000,29.40000,1,9.29000,,19701101
01AA002,1970,12,2.44000,12.10000,1,7.65000,,19701201
01AA002,1971,1,1.35000,2.67000,1,2.44000,B,19710101
01AA002,1971,2,1.25000,1.98000,1,1.30000,B,19710201
01AA002,1971,3,2.20000,3.20000,1,2.61000,B,19710301
01AA002,1971,4,2.25000,87.80000,1,2.56000,B,19710401
01AA002,1971,5,7.02000,155.00000,1,68.50000,B,19710501
01AA002,1971,6,1.60000,6.34000,1,5.78000,,19710601
01AA002,1971,7,1.78000,27.60000,1,24.20000,,19710701
01AA002,1971,8,2.60000,213.00000,1,8.30000,,19710801
01AA002,1971,9,5.38000,43.60000,1,23.60000,,19710901
01AA002,1971,10,3.60000,39.90000,1,5.32000,,19711001
01AA002,1971,11,2.30000,10.10000,1,4.25000,,19711101
01AA002,1971,12,5.41000,8.69000,1,6.54000,,19711201
01AA002,1972,1,3.14000,5.30000,1,5.30000,B,19720101
01AA002,1972,2,1.70000,3.11000,1,3.11000,B,19720201
01AA002,1972,3,1.42000,14.70000,1,1.67000,B,19720301
01AA002,1972,4,3.96000,52.40000,1,4.11000,B,19720401
01AA002,1972,5,8.30000,168.00000,1,96.30000,,19720501
01AA002,1972,6,3.40000,45.30000,1,12.70000,,19720601
01AA002,1972,7,2.27000,62.30000,1,2.83000,E,19720701
01AA002,1972,8,1.89000,82.10000,1,1.96000,,19720801
01AA002,1972,9,1.80000,12.40000,1,5.30000,,19720901
01AA002,1972,10,4.11000,63.40000,1,18.50000,,19721001
01AA002,1972,11,7.19000,24.00000,1,16.50000,,19721101
01AA002,1972,12,4.67000,13.90000,1,8.92000,B,19721201
01AA002,1973,1,3.88000,13.00000,1,4.96000,B,19730101
01AA002,1973,2,6.65000,24.10000,1,8.78000,B,19730201
01AA002,1973,3,6.65000,82.10000,1,6.65000,B,19730301
01AA002,1973,4,11.30000,198.00000,1,62.30000,B,19730401
01AA002,1973,5,16.60000,118.00000,1,66.50000,,19730501
01AA002,1973,6,2.94000,54.40000,1,54.40000,,19730601
01AA002,1973,7,0.73000,13.50000,1,4.39000,,19730701
01AA002,1973,8,6.26000,46.20000,1,7.82000,,19730801
01AA002,1973,9,4.11000,64.30000,1,14.70000,,19730901
01AA002,1973,10,3.09000,79.00000,1,3.51000,,19731001
01AA002,1973,11,4.13000,28.30000,1,6.74000,,19731101
01AA002,1973,12,7.93000,62.30000,1,18.70000,,19731201
01AA002,1974,1,4.39000,22.70000,1,14.20000,B,19740101
01AA002,1974,2,2.72000,17.60000,1,17.60000,B,19740201
01AA002,1974,3,4.81000,45.30000,1,4.87000,B,19740301
01AA002,1974,4,5.41000,219.00000,1,5.41000,B,19740401
01AA002,1974,5,18.30000,255.00000,1,255.00000,,19740501
01AA002,1974,6,2.38000,22.30000,1,22.30000,,19740601
01AA002,1974,7,0.80000,6.74000,1,2.40000,,19740701
01AA002,1974,8,0.31000,3.43000,1,2.92000,,19740801
01AA002,1974,9,0.50000,9.00000,1,0.55000,E,19740901
01AA002,1974,10,1.10000,7.59000,1,2.97000,,19741001
01AA002,1974,11,0.93000,14.20000,1,9.85000,,19741101
01AA002,1974,12,3.74000,29.70000,1,6.65000,B,19741201
01AA002,1975,1,1.90000,9.91000,1,3.60000,B,19750101
01AA002,1975,2,1.59000,2.83000,1,1.87000,B,19750201
01AA002,1975,3,2.29000,18.70000,1,2.75000,B,19750301
01AA002,1975,4,5.10000,113.00000,1,5.52000,B,19750401
01AA002,1975,5,5.66000,128.00000,1,75.60000,,19750501
01AA002,1975,6,1.39000,23.10000,1,12.50000,E,19750601
01AA002,1975,7,0.88000,19.40000,1,1.22000,,19750701
